name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type,VDF_alpha,VDF_beta,ref_volume,VDF_preload,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,geometry
,31,11,4,1,6,1,4908.82673,60,1,0.15,4,5449.17,,,,,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)"
,32,11,10,1,5,1,10000,60,1,0.15,4,17464.998,,,,,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)"
,33,11,12,1,6,1,4908.82673,60,1,0.15,4,8377.522,,,,,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)"
,34,11,14,1,4,1,4876.508287,60,1,0.15,4,9587.549,,,,,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)"
,35,12,3,1,4,1,23403.47319,60,1,0.15,4,10279.792,,,,,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)"
,36,12,11,1,6,1,4908.82673,60,1,0.15,4,8460.422,,,,,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)"
,37,12,13,1,3,1,25900.20064,60,1,0.15,4,13227.405,,,,,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)"
,38,13,12,1,3,1,25900.20064,60,1,0.15,4,13316.306,,,,,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)"
,39,13,24,1,4,1,5091.256152,60,1,0.15,4,10975.704,,,,,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)"
,40,14,11,1,4,1,4876.508287,60,1,0.15,4,9661.071,,,,,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)"
,41,14,15,1,5,1,5127.526119,60,1,0.15,4,8967.315,,,,,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)"
,42,14,23,1,4,1,4924.790605,60,1,0.15,4,8224.451,,,,,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)"
,43,15,10,1,6,1,13512.00155,60,1,0.15,4,22484.834,,,,,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)"
,44,15,14,1,5,1,5127.526119,60,1,0.15,4,9041.501,,,,,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)"
,45,15,19,1,3,1,14564.75315,60,1,0.15,4,17955.973,,,,,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)"
,46,15,22,1,3,1,9599.180565,60,1,0.15,4,18078.322,,,,,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)"
,47,16,8,1,5,1,5045.822583,60,1,0.15,4,8596.646,,,,,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)"
,48,16,10,1,4,1,4854.917717,60,1,0.15,4,11376.53,,,,,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)"
,49,16,17,1,2,1,5229.910063,60,1,0.15,4,10895.549,,,,,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)"
,50,16,18,1,3,1,19679.89671,60,1,0.15,4,16700.59,,,,,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)"
,51,17,10,1,8,1,4993.510694,60,1,0.15,4,8099.999,,,,,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)"
,52,17,16,1,2,1,5229.910063,60,1,0.15,4,10905.318,,,,,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)"
,53,17,19,1,2,1,4823.950831,60,1,0.15,4,9948.753,,,,,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)"
,54,18,7,1,2,1,23403.47319,60,1,0.15,4,15708.296,,,,,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)"
,55,18,16,1,3,1,19679.89671,60,1,0.15,4,16727.611,,,,,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)"
,56,18,20,1,4,1,23403.47319,60,1,0.15,4,20692.295,,,,,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)"
,57,19,15,1,3,1,14564.75315,60,1,0.15,4,17964.596,,,,,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)"
,58,19,17,1,2,1,4823.950831,60,1,0.15,4,9958.525,,,,,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)"
,59,19,20,1,4,1,5002.607563,60,1,0.15,4,7899.545,,,,,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)"
,60,20,18,1,4,1,23403.47319,60,1,0.15,4,20707.057,,,,,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)"
,61,20,19,1,4,1,5002.607563,60,1,0.15,4,7917.937,,,,,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)"
,62,20,21,1,6,1,5059.91234,60,1,0.15,4,6445.915,,,,,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)"
,63,20,22,1,5,1,5075.697193,60,1,0.15,4,7000,,,,,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)"
,64,21,20,1,6,1,5059.91234,60,1,0.15,4,6379.069,,,,,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)"
,65,21,22,1,2,1,5229.910063,60,1,0.15,4,8315.617,,,,,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)"
,66,21,24,1,3,1,4885.357564,60,1,0.15,4,10299.105,,,,,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)"
,67,22,15,1,3,1,9599.180565,60,1,0.15,4,18056.934,,,,,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)"
,68,22,20,1,5,1,5075.697193,60,1,0.15,4,7000,,,,,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)"
,69,22,21,1,2,1,5229.910063,60,1,0.15,4,8299.461,,,,,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)"
,70,22,23,1,4,1,5000,60,1,0.15,4,9604.388,,,,,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)"
,71,23,14,1,4,1,4924.790605,60,1,0.15,4,8223.786,,,,,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)"
,72,23,22,1,4,1,5000,60,1,0.15,4,9566.843,,,,,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)"
,73,23,24,1,2,1,5078.508436,60,1,0.15,4,7742.693,,,,,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)"
,74,24,13,1,4,1,5091.256152,60,1,0.15,4,10964.604,,,,,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)"
,75,24,21,1,3,1,4885.357564,60,1,0.15,4,10248.417,,,,,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)"
,76,24,23,1,2,1,5078.508436,60,1,0.15,4,7704.481,,,,,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)"
